point_id,building_id,last_updated,first_updated,point_name,point_description,tagged_units,point_value,point_type,point_type_id,measurement_id,equip_id,building_name,equip_count,point_count,sq_ft,borough,building_type,equip_type_abbr,equip_type_name,equip_tags,county
310029,441,2019-06-15 04:00:00+00:00,2019-02-19 02:01:01+00:00,245 E 149th St. Boiler-1 Fault Code,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310009,441,2019-06-14 04:05:00+00:00,2019-02-20 22:15:00+00:00,225 E 149th St. Boiler-1 Exhaust Temp,,f,183.55,Exhaust Air Temperature,86,1,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310010,441,2019-06-15 04:00:00+00:00,2019-02-18 15:29:35+00:00,225 E 149th St. Boiler-1 Fault Code,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310011,441,2019-06-14 04:05:00+00:00,2019-02-18 15:30:00+00:00,225 E 149th St. Boiler-1 FFWD Temp,,?,46.90,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310012,441,2019-06-14 04:05:00+00:00,2019-02-18 15:30:00+00:00,225 E 149th St. Boiler-1 Fire Rate In,,?,91,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310013,441,2019-06-14 04:05:00+00:00,2019-02-18 15:35:00+00:00,225 E 149th St. Boiler-1 Fire Rate Out,,?,43,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310014,441,2019-06-14 04:05:00+00:00,2019-02-18 15:35:00+00:00,225 E 149th St. Boiler-1 Flame Strength,,?,100,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310015,441,2019-06-14 04:05:00+00:00,2019-02-18 15:35:00+00:00,225 E 149th St. Boiler-1 Inlet Temp,,?,43.45,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310016,441,2019-02-18 22:20:00+00:00,2019-02-18 15:35:00+00:00,225 E 149th St. Boiler-1 Net Remote Setpt,,?,175.02,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310017,441,2019-06-14 04:05:00+00:00,2019-02-18 15:35:00+00:00,225 E 149th St. Boiler-1 Outlet Temp,,?,50.59,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310018,441,2019-06-14 04:05:00+00:00,2019-02-18 15:35:00+00:00,225 E 149th St. Boiler-1 Oxygen Level,,?,53,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310019,441,2019-06-15 04:00:00+00:00,2019-02-18 15:32:28+00:00,225 E 149th St. Boiler-1 Unit Status,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310020,441,2021-01-01 04:45:00+00:00,2019-01-13 17:30:00+00:00,225 E 149th St. Boiler Hot Water-1 Boiler Enable Cmd,,?,AAAB,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310021,441,2020-10-28 17:45:00+00:00,2020-05-01 04:00:00+00:00,225 E 149th St. Boiler Hot Water-1 Boiler Modulation Percent [Boiler 1],,?,100,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310022,441,2021-01-01 04:45:00+00:00,2019-01-13 17:30:00+00:00,225 E 149th St. Boiler Hot Water-1 Condensing [Boiler 1],,?,AAAB,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310023,441,2020-10-28 17:45:00+00:00,2020-05-01 04:00:00+00:00,225 E 149th St. Boiler Hot Water-1 Cycles [Boiler 1],,?,9076,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310024,441,2020-10-28 17:45:00+00:00,2020-05-01 04:00:00+00:00,225 E 149th St. Boiler Hot Water-1 Runtime [Boiler 1],,hours,2168,Runtime Counter,281,35,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310025,441,2020-10-28 17:45:00+00:00,2020-05-01 04:00:00+00:00,225 E 149th St. Boiler Hot Water-1 Supply Temperature [Boiler 1],,f,132,Hot Water Supply Temperature,88,1,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310026,441,2020-10-28 17:45:00+00:00,2020-05-01 04:00:00+00:00,225 E 149th St. Boiler Hot Water-1 Type [Boiler 1],,?,1,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310027,441,2019-06-14 04:05:00+00:00,2019-02-19 02:00:00+00:00,245 E 149th St. Boiler-1 Air Temp,,?,53.10,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310028,441,2019-06-14 04:05:00+00:00,2019-02-19 02:00:00+00:00,245 E 149th St. Boiler-1 Exhaust Temp,,f,162.96,Exhaust Air Temperature,86,1,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310030,441,2019-06-14 04:05:00+00:00,2019-02-19 02:00:00+00:00,245 E 149th St. Boiler-1 FFWD Temp,,?,110.64,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310031,441,2019-06-14 04:05:00+00:00,2019-02-19 02:05:00+00:00,245 E 149th St. Boiler-1 Fire Rate In,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310032,441,2019-06-14 04:05:00+00:00,2019-02-19 02:00:00+00:00,245 E 149th St. Boiler-1 Fire Rate Out,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310033,441,2019-06-14 04:05:00+00:00,2019-02-19 02:05:00+00:00,245 E 149th St. Boiler-1 Flame Strength,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310034,441,2019-06-14 04:05:00+00:00,2019-02-19 02:05:00+00:00,245 E 149th St. Boiler-1 Inlet Temp,,?,109.81,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310035,441,2019-06-14 04:05:00+00:00,2019-02-19 02:55:00+00:00,245 E 149th St. Boiler-1 Outlet Temp,,?,110.64,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310036,441,2019-06-14 04:05:00+00:00,2019-02-19 02:55:00+00:00,245 E 149th St. Boiler-1 Oxygen Level,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310037,441,2019-06-15 04:00:00+00:00,2019-02-19 02:02:56+00:00,245 E 149th St. Boiler-1 Unit Status,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310038,441,2021-01-01 04:45:00+00:00,2019-01-13 17:30:00+00:00,245 E 149th St. Boiler Hot Water-1 Boiler 1 Condensing,,?,AAAB,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310039,441,2021-01-01 04:45:00+00:00,2020-05-01 04:00:00+00:00,245 E 149th St. Boiler Hot Water-1 Boiler 1 Cycles,,?,366,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310040,441,2021-01-01 04:45:00+00:00,2019-10-06 14:30:00+00:00,245 E 149th St. Boiler Hot Water-1 Boiler 1 Running Time,,hours,2936,Runtime Counter,281,35,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310041,441,2021-01-01 04:45:00+00:00,2020-05-01 04:00:00+00:00,245 E 149th St. Boiler Hot Water-1 Boiler 1 Type,,?,1,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310042,441,2021-01-01 04:45:00+00:00,2019-01-13 17:30:00+00:00,245 E 149th St. Boiler Hot Water-1 Boiler Enable Cmd [Boiler 1],,?,AAAA,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310043,441,2021-01-01 04:45:00+00:00,2019-10-06 14:30:00+00:00,245 E 149th St. Boiler Hot Water-1 Boiler Modulation Percent,,?,0,Virtual,434,18,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
310044,441,2021-01-01 04:45:00+00:00,2019-10-06 14:30:00+00:00,245 E 149th St. Boiler Hot Water-1 Supply Temperature,,f,140,Hot Water Supply Temperature,88,1,28797,88737,20,1293,551143.0,bronx,Multifamily,BLR,Boiler,"['boiler', 'hvac']",bronx
