Town,Founded,Formed from,County,"Pop.
(2020)","Land
(sq mi)","Water
(sq mi)",Coordinates,"GEO ID
(FIPS code)","ANSI code
(GNIS ID)"
Adams,1802,Mexico,Jefferson,"4,973",42.270,0.153,"43.844658, -76.054289",3604500210,978655
Addison,1796,Painted Post,Steuben,"2,397",25.545,0.142,"42.132164, -77.234422",3610100287,978656
Afton,1857,Bainbridge,Chenango,"2,769",45.836,0.679,"42.226305, -75.526838",3601700353,978657
Alabama,1826,Pembroke and Shelby,Genesee,"1,602",42.370,0.406,"43.090053, -78.366480",3603700474,978658
Albion,1875,Barre,Orleans,"7,639",25.257,0.093,"43.226343, -78.209387",3607301044,978660
Albion,1825,Richland,Oswego,"2,009",47.286,0.532,"43.489292, -76.030916",3607501055,978661
Alden,1823,Clarence,Erie,"9,706",34.308,0.201,"42.907256, -78.520613",3602901099,978662
Alexander,1812,Batavia,Genesee,"2,491",35.467,0.096,"42.920586, -78.250065",3603701165,978663
Alexandria,1821,Brownville and Le Ray,Jefferson,"3,741",72.657,11.900,"44.319903, -75.878414",3604501176,978664
Alfred,1808,Angelica,Allegany,"5,157",31.476,0.149,"42.233273, -77.795084",3600301209,978665
Allegany,1831,Great Valley,Cattaraugus,"7,493",70.923,0.658,"42.091286, -78.531856",3600901297,978666
Allen,1823,Angelica,Allegany,494,36.377,0.203,"42.397400, -78.004345",3600301319,978668
Alma,1854,Willing,Allegany,781,36.215,0.301,"42.047668, -78.016224",3600301429,978669
Almond,1821,Alfred,Allegany,"1,512",45.717,0.067,"42.340932, -77.781630",3600301451,978670
Altona,1857,Chazy,Clinton,"2,666",100.983,0.357,"44.841730, -73.670487",3601901583,978672
Amboy,1830,Williamstown,Oswego,"1,245",37.049,0.692,"43.377133, -75.918438",3607501649,978673
Amenia,1788,Amenia Precinct,Dutchess,"3,769",43.220,0.396,"41.829938, -73.534020",3602701693,978674
Amherst,1818,Buffalo,Erie,"129,595",53.203,0.391,"43.011639, -78.757148",3602902000,978675
Amity,1830,Angelica and Scio,Allegany,"2,171",34.442,0.123,"42.226466, -78.003401",3600302011,978676
Amsterdam,1793,Caughnawaga,Montgomery,"5,557",29.701,0.733,"42.955568, -74.166076",3605702077,978678
Ancram,1803,Livingston,Columbia,"1,440",42.478,0.259,"42.035959, -73.580146",3602102099,978679
Andes,1819,Middletown,Delaware,"1,114",108.592,3.694,"42.128419, -74.787370",3602502132,978680
Andover,1824,Independence,Allegany,"1,615",39.430,0.066,"42.150717, -77.811105",3600302154,978681
Angelica,1805,Leicester,Allegany,"1,272",36.394,0.038,"42.304028, -78.015503",3600302187,978682
Annsville,1823,"Camden, Florence, Lee and Vienna",Oneida,"2,639",60.167,0.308,"43.345241, -75.614699",3606502253,978683
Antwerp,1810,Le Ray,Jefferson,"1,683",106.042,2.378,"44.221394, -75.601758",3604502297,978684
Arcade,1807,Sheldon,Wyoming,"4,187",47.004,0.106,"42.571352, -78.369984",3612102418,978685
Arcadia,1825,Lyons,Wayne,"13,731",52.033,0.111,"43.098080, -77.082687",3611702440,978686
Argyle,1788,Argyle township,Washington,"3,644",56.536,1.260,"43.232135, -73.478888",3611502561,978687
Arietta,1836,Lake Pleasant,Hamilton,292,317.178,12.229,"43.500184, -74.579588",3604102572,978688
Arkwright,1829,Pomfret and Villenova,Chautauqua,"1,008",35.670,0.060,"42.386656, -79.242479",3601302605,978689
Ashford,1824,Ellicottville,Cattaraugus,"1,961",51.737,0.164,"42.440413, -78.646301",3600902759,978690
Ashland,1867,"Chemung, Elmira and Southport",Chemung,"1,510",14.182,0.355,"42.019488, -76.750371",3601502781,978691
Ashland,1848,Prattsville and Windham,Greene,682,25.958,0.000,"42.321255, -74.336110",3603902803,978692
Athens,1815,Catskill and Coxsackie,Greene,"3,916",26.246,2.622,"42.276513, -73.859238",3603902913,978693
Attica,1811,Sheldon,Wyoming,"5,790",35.712,0.315,"42.820640, -78.245571",3612103012,978694
Au Sable,1839,Peru,Clinton,"3,183",39.109,4.740,"44.503615, -73.533466",3601903221,978699
Augusta,1798,Whitestown,Oneida,"2,021",27.728,0.000,"42.977116, -75.502294",3606503155,978696
Aurelius,1789,Aurelius township,Cayuga,"2,611",30.245,1.749,"42.929159, -76.668447",3601103166,978697
Aurora,1818,Willink,Erie,"13,943",36.393,0.046,"42.738748, -78.638578",3602903199,978698
Austerlitz,1818,"Canaan, Chatham and Hillsdale",Columbia,"1,625",48.722,0.092,"42.315112, -73.518416",3602103287,978700
Ava,1846,Boonville,Oneida,680,37.667,0.038,"43.414296, -75.441248",3606503309,978701
Avoca,1843,"Bath, Cohocton, Howard and Wheeler",Steuben,"1,990",36.249,0.041,"42.424318, -77.448755",3610103342,978702
Avon,1797,,Livingston,"6,939",41.203,0.055,"42.897400, -77.727378",3605103364,978703
Babylon,1872,Huntington,Suffolk,"218,223",52.319,61.861,"40.680656, -73.316175",3610304000,978704
Bainbridge,1791,,Chenango,"3,060",34.323,0.433,"42.296565, -75.476683",3601704044,978705
Baldwin,1856,Chemung,Chemung,812,25.716,0.020,"42.101825, -76.657096",3601504132,978706
Ballston,1788,Ballstown district,Saratoga,"11,831",29.576,0.462,"42.951295, -73.887168",3609104220,978707
Bangor,1812,Dickinson,Franklin,"2,231",43.118,0.000,"44.837505, -74.430139",3603304319,978708
Barker,1831,Lisle,Broome,"2,509",41.403,0.376,"42.265005, -75.911308",3600704429,978709
Barre,1818,Gaines,Orleans,"1,843",55.040,0.011,"43.179026, -78.211392",3607304572,978710
Barrington,1822,Reading and Wayne,Yates,"1,541",35.753,1.378,"42.523012, -77.052976",3612304594,978711
Barton,1824,Tioga,Tioga,"8,609",59.275,0.414,"42.079846, -76.499364",3610704671,978712
Batavia,1802,Northampton,Genesee,"6,293",48.187,0.218,"42.996988, -78.227989",3603704726,978714
Bath,1796,,Steuben,"11,424",95.319,0.559,"42.322420, -77.316574",3610104770,978715
Bedford,1788,Bedford Patent,Westchester,"17,309",37.173,2.247,"41.225704, -73.664943",3611905320,978717
