City,County,"Population
(2020 census)[1]","Incorporation
date","FIPS code
(subdivision)","FIPS code 
(place)",
Albany,Albany,"99,224",1686,3600101000,3601000,
Amsterdam,Montgomery,"18,219",1830,3605702066,3602066,
Auburn,Cayuga,"26,866",1848,3601103078,3603078,
Batavia,Genesee,"15,600",1915,3603704715,3604715,
Beacon,Dutchess,"13,769",1913,3602705100,3605100,
Binghamton,Broome,"47,969",1867,3600706607,3606607,
Buffalo,Erie,"278,349",1832,3602911000,3611000,
Canandaigua,Ontario,"10,576",1913,3606912144,3612144,
Cohoes,Albany,"18,147",1869,3600116749,3616749,
Corning,Steuben,"10,551",1890,3610118256,3618256,
Cortland,Cortland,"17,556",1900,3602318388,3618388,
Dunkirk,Chautauqua,"12,743",1888,3601321105,3621105,
Elmira,Chemung,"26,523",1864,3601524229,3624229,
Fulton,Oswego,"11,389",1902,3607527815,3627815,
Geneva,"Ontario
Seneca[A]","12,812",1898,3606928640,3628640,
Glen Cove,Nassau,"28,365",1918,3605929113,3629113,
Glens Falls,Warren,"14,830",1908,3611329333,3629333,
Gloversville,Fulton,"15,131",1890,3603529443,3629443,
Hornell,Steuben,"8,263",1888,3610135672,3635672,
Hudson,Columbia,"5,894",1785,3602135969,3635969,
Ithaca,Tompkins,"32,108",1888,3610938077,3638077,
Jamestown,Chautauqua,"28,712",1886,3601338264,3638264,
Johnstown,Fulton,"8,204",1895,3603538781,3638781,
Kingston,Ulster,"24,069",1872,3611139727,3639727,
Lackawanna,Erie,"19,949",1909,3602940189,3640189,
Little Falls,Herkimer,"4,605",1895,3604342741,3642741,
Lockport,Niagara,"20,876",1865,3606343082,3643082,
Long Beach,Nassau,"35,029",1922,3605943335,3643335,
Mechanicville,Saratoga,"5,163",1915,3609146360,3646360,
Middletown,Orange,"30,345",1888,3607147042,3647042,
Mount Vernon,Westchester,"73,893",1892,3611949121,3649121,
New Rochelle,Westchester,"79,726",1889,3611950617,3650617,
New York City,"Bronx, Kings, New York, Queens and Richmond","8,804,190",1653[B],,3651000,
Newburgh,Orange,"28,856",1865,3607150034,3650034,
Niagara Falls,Niagara,"48,671",1892,3606351055,3651055,
North Tonawanda,Niagara,"30,496",1897,3606353682,3653682,
Norwich,Chenango,"7,051",1914,3601753979,3653979,
Ogdensburg,St. Lawrence,"10,064",1868,3608954485,3654485,
Olean,Cattaraugus,"13,937",1854,3600954716,3654716,
Oneida,Madison,"10,329",1901,3605354837,3654837,
Oneonta,Otsego,"13,079",1908,3607754881,3654881,
Oswego,Oswego,"16,921",1848,3607555574,3655574,
Peekskill,Westchester,"25,431",1940,3611956979,3656979,
Plattsburgh,Clinton,"19,841",1902,3601958574,3658574,
Port Jervis,Orange,"8,775",1907,3607159388,3659388,
Poughkeepsie,Dutchess,"31,577",1854,3602759641,3659641,
Rensselaer,Rensselaer,"9,210",1897,3608361148,3661148,
Rochester,Monroe,"211,328",1834,3605563000,3663000,
Rome,Oneida,"32,127",1870,3606563418,3663418,
Rye,Westchester,"16,592",1942,3611964309,3664309,
Salamanca,Cattaraugus,"5,929",1913,3600964749,3664749,
Saratoga Springs,Saratoga,"28,491",1915,3609165255,3665255,
Schenectady,Schenectady,"67,047",1798,3609365508,3665508,
Sherrill,Oneida,"3,077",1916,,3666993,
Syracuse,Onondaga,"148,620",1848,3606773000,3673000,
Tonawanda,Erie,"15,129",1904,3602974166,3674166,
Troy,Rensselaer,"51,401",1816,3608375484,3675484,
Utica,Oneida,"65,283",1832,3606576540,3676540,
Watertown,Jefferson,"24,685",1869,3604578608,3678608,
Watervliet,Albany,"10,375",1896,3600178674,3678674,
White Plains,Westchester,"59,559",1916,3611981677,3681677,
Yonkers,Westchester,"211,569",1872,3611984000,3684000,
