county_number,county,equip_count,sq_ft,point_count
0,albany,52,716057,1018
1,allegany,0,0,0
2,bronx,164,5808020,3502
3,broome,14,396114,38
4,cattaraugus,0,0,0
5,cayuga,0,0,0
6,chautauqua,0,0,0
7,chemung,20,254057,73
8,chenango,0,0,0
9,clinton,0,0,0
10,columbia,383,945457,3747
11,cortland,0,0,0
12,delaware,12,56000,38
13,dutchess,18,200000,74
14,erie,55,576000,156
15,essex,0,0,0
16,franklin,0,0,0
17,fulton,218,228690,1681
18,genesee,7,198057,19
19,greene,0,0,0
20,hamilton,0,0,0
21,herkimer,0,0,0
22,jefferson,20,254057,62
23,kings,382,3528907,3739
24,lewis,0,0,0
25,livingston,0,0,0
26,madison,0,0,0
27,monroe,75,630057,353
28,montgomery,110,228690,777
29,nassau,0,0,0
30,newyork,3865,45640971,24826
31,niagara,27,198057,215
32,oneida,21,486057,84
33,onondaga,41,794171,120
34,ontario,23,198057,164
35,orange,0,0,0
36,orleans,0,0,0
37,oswego,0,0,0
38,otsego,0,0,0
39,putnam,0,0,0
40,queens,229,5664184,1238
41,rensselaer,22,403000,403
42,richmond,4,198057,12
43,rockland,9,2191057,43
44,saratoga,31,457057,477
45,schenectady,6,144000,22
46,schoharie,0,0,0
47,schuyler,0,0,0
48,seneca,0,0,0
49,st.lawrence,0,0,0
50,steuben,14,0,101
51,suffolk,0,0,0
52,sullivan,0,0,0
53,tioga,0,0,0
54,tompkins,12,56000,37
55,ulster,137,652114,765
56,warren,0,0,0
57,washington,0,0,0
58,wayne,0,0,0
59,westchester,99,1223414,500
60,wyoming,15,0,106
61,yates,0,0,0
